dish_name,calories__kcal_,carbohydrates__g_,protein__g_,fats__g_,free_sugar__g_,fibre__g_,sodium__mg_,calcium__mg_,iron__mg_,vitamin_c__mg_,folate__µg_,calories_from_carb,calories_from_protein,calories_from_fat,carb_pct,protein_pct,fat_pct
Coco pine cooler,-1.0718851135211147,-0.7548242348684366,-1.2185265168420851,-0.746864706564887,-0.26711718177625093,-0.6145590077632282,-0.2616763123050807,-0.6240648917237259,-0.6624197610105069,-0.15436234063576856,-0.5441727606453242,-0.7548242348684366,-1.2185265168420851,-0.7468647065648869,1.1588357815119301,-0.36621827933839907,-0.6071384901917377
Summer cooler,-1.12692307644618,-0.7721504149985613,-1.2737422579756048,-0.7938263035309437,-0.29217331705109995,-0.6362176631876657,-0.27403784533358494,-0.7676675998522617,-0.563742864041996,3.445516474674088,0.431070412649754,-0.7721504149985613,-1.2737422579756048,-0.7938263035309435,2.1949487593634256,-0.37886816108149296,-1.1692779335507166
Hot cocoa,-0.7660297672272682,-0.5451177098452026,-0.4048208580323245,-0.5727154511490932,0.014966405672856268,-0.7084131812691238,-0.2611048128585479,0.7978689485779431,-0.5440074846482938,-0.42775613195252493,-0.522289255293337,-0.5451177098452026,-0.4048208580323245,-0.5727154511490932,0.049201434688104444,0.05705696766255837,-0.21461136113402923
Cold coffee with ice cream,-0.8846920419445844,-0.4250293579088208,-0.92501126134285,-0.6925653600728838,0.1903593525967997,-0.7048034053650508,-0.2670255471246276,-0.09771942845921665,-0.6689982208084079,-0.470025526638378,-0.6041145361746801,-0.4250293579088208,-0.92501126134285,-0.6925653600728838,1.0205909120158405,-0.2396079286943305,-0.5961178378695589
Banana milkshake (Kele milkshake),-0.8982382072381566,-0.5498973457431681,-0.8465467871004804,-0.67984659422791,-0.06990114929034215,-0.6145590077632282,-0.2671569919973302,0.040987732801300907,-0.6624197610105069,-0.30288691095394965,-0.40735327935768295,-0.5498973457431681,-0.8465467871004804,-0.67984659422791,0.6278654398479215,-0.13408501259245428,-0.4946340715821776
Mango milkshake (Aam milkshake),-0.943089880513331,-0.6646086072943388,-0.8785137951251495,-0.6808249608313697,-0.13537040597623806,-0.6145590077632282,-0.26735130180915134,0.036388885743465535,-0.6492628414147056,0.21132609228863034,0.23678294339428574,-0.6646086072943388,-0.8785137951251495,-0.6808249608313696,0.4275569799163911,-0.0873214479594402,-0.39663844066056514
Pineapple milkshake (Ananas milkshake),-0.9493829809253055,-0.6413078822917572,-0.8988564365953935,-0.6866951604521268,-0.09899859670629593,-0.7084131812691238,-0.2669055322408557,0.0006365586164230961,-0.6755766806063085,-0.17181300816662534,-0.45264262086875195,-0.6413078822917572,-0.8988564365953935,-0.6866951604521268,0.5764538954404145,-0.10015851180937217,-0.4216452456716479
Orange milkshake (Narangi milkshake),-0.9403166498233084,-0.671778061141287,-0.8407346038232676,-0.6725088447019638,-0.14102824297378463,-0.7084131812691238,-0.2665740625618667,0.11189898743502005,-0.6755766806063085,-0.14854545145881629,-0.46406010192196256,-0.671778061141287,-0.8407346038232676,-0.6725088447019636,0.37776309550944376,-0.0456351372042471,-0.3460648987455465
Egg nog,-0.728484490193115,-0.6096427944677362,0.007844154649768616,-0.5458103695539565,-0.06181852500813274,-0.701193629460978,-0.2517036469630836,0.6268215080074867,-0.4650659670734852,-0.38122101853690676,0.012810023400469682,-0.6096427944677362,0.007844154649768616,-0.5458103695539563,-0.23571356463341178,0.30682628973358395,-0.17562362947092108
Sweet Lassi (Meethi lassi),-1.0563656879288725,-0.7076253303760278,-1.006381827223826,-0.7625185722202392,-0.1870992013823781,-0.7084131812691238,-0.2644709445986261,-0.2110587559490941,-0.7282043589895143,-0.529357796243291,-0.4421765965699755,-0.7076253303760278,-1.006381827223826,-0.7625185722202391,1.280240602694247,0.03364444368629065,-0.8313090917189402
Lassi (salted),-1.146069034479221,-0.9854416669452694,-0.9889452773921884,-0.7605618390133202,-0.564557755361556,-0.701193629460978,-0.23755903566139705,-0.17946022616461252,-0.7216258991916136,-0.5285822110196974,-0.4408445571137676,-0.9854416669452694,-0.9889452773921884,-0.7605618390133202,-0.007891826297063231,0.77739269736796,-0.45693609359708753
Cheese and chilli sandwich ,-0.08333503524687944,0.5404570934801992,0.5948746656482388,-0.31736176764615953,-0.5209115842376253,0.04242020677804014,-0.02490409160654675,0.7997974973441323,-0.09667221839104422,-0.0911521449128873,-0.47757078783492857,0.5404570934801992,0.5948746656482388,-0.3173617676461595,0.4054250426159985,-0.0711240038850302,-0.32743944068462916
Egg sandwich (Ande ka sandwich),0.2785182384416554,0.6456090832354392,1.1441259853448273,-0.02287342000484516,-0.562941230505114,-0.029775311303417987,-0.011090949983849258,0.7455014320806568,0.19935847251448863,-0.5681370574229728,-0.5007863326431236,0.6456090832354392,1.1441259853448273,-0.02287342000484512,0.04198832480918723,-0.08764326140957902,-0.12385009651817722
Cucumber sandwich (Kheere ka sandwich),-0.24071587690566612,0.4430720120591533,0.013656337926981071,-0.4044363953540564,-0.5807230039259746,0.1759819152287376,-0.06768654017399126,0.4148294936317867,-0.07693683899734201,-0.5088047878180597,-0.5380834374169451,0.4430720120591533,0.013656337926981071,-0.40443639535405634,0.574658922029696,-0.19115650126218073,-0.3747932443593645
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),0.12785714807023146,0.6420243563119651,1.001727495053119,-0.16962841052377253,-0.38189044658362403,0.13266460437986272,0.051939723974251915,2.074716581700162,-0.06377991940154053,-0.4269805467289312,-0.5548290762949875,0.6420243563119651,1.001727495053119,-0.16962841052377256,0.21017139289099956,-0.057671077540730906,-0.23303325767957725
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),0.05111332185979647,0.5117792780924068,0.9203569291721432,-0.19555512551544976,-0.4829232501112412,0.0027126718332381693,0.03922386128889739,1.948174112657144,-0.09009375859314347,-0.4455945920951785,-0.552926162786119,0.5117792780924068,0.9203569291721432,-0.1955551255154498,0.17511562900144628,-0.04234760258037854,-0.21818961128397607
Chicken sandwich,0.1041780244861919,0.41977128705657174,2.431524581247413,-0.22099265720539715,-0.5839560536388584,-0.11640993300116766,-0.052238910134209976,0.4403456773075183,0.03489697756697037,-0.5681370574229728,-0.5734776286818982,0.41977128705657174,2.431524581247413,-0.22099265720539715,0.014897867123398953,0.36122423762401795,-0.29706705450608795
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),0.3076904920463171,0.6085669050262069,1.3882376829877554,-0.006241187746033398,-0.485348037395904,0.7463265080722563,-0.06634351647463918,0.506658084883402,0.29145690968509896,-0.4455945920951785,-0.3652988908116903,0.6085669050262069,1.3882376829877554,-0.006241187746033493,-0.020111015981309526,-0.039180450702237454,-0.12131618749043803
Rainbow sandwich,0.20806751264319498,0.9503108717307363,0.8709533713158363,-0.18234717636874634,-0.38593175872472874,0.04963975858618595,0.07510259654222579,1.6639356945019017,0.04147543736487111,-0.5289700036314943,-0.587178605945751,0.9503108717307363,0.8709533713158363,-0.18234717636874637,0.40519221678978007,-0.1290338055160088,-0.3052203977054629
Club sandwich ,0.008448234320986153,0.009320054318789212,0.7430853392171595,-0.056137884522468776,-0.5508172940818,-0.05504374263192825,-0.011096664978314581,0.8278356294064186,-0.1821921957637537,-0.3354614903448823,-0.45321349492141244,0.009320054318789212,0.7430853392171595,-0.05613788452246884,-0.31624055899829556,-0.0734894657430085,0.05212649993390536
Vegetarian club sandwich,-0.18882446418658796,0.07922222932653375,0.20255229443638995,-0.241538355878047,-0.5451594570842534,0.03520065496989432,-0.10042202847138931,0.9281201652482473,-0.24139833394486027,-0.3354614903448823,-0.45112029006165716,0.07922222932653375,0.20255229443638995,-0.241538355878047,-0.00017139719263953797,-0.14862988059217344,-0.08719937071180374
Pin wheel sandwich,0.4148331931281544,-0.2601319194290129,1.1673747184536776,0.4237509344744238,-0.5960799900621725,-0.3727040221903437,-0.06097142167723099,0.1167945343030383,0.1467307941312829,-0.5681370574229728,-0.6126776469645882,-0.2601319194290129,1.1673747184536776,0.42375093447442375,-0.8343417834329336,-0.13452608401676228,0.3605400507142864
Carrot apple sandwich (Gajar aur seb ka sandwich),-0.1046675790162846,0.6384396293884909,0.1589609198572955,-0.34964786556032357,-0.28489895519711156,0.6127647996215588,-0.10183934709879064,0.8629945569130952,0.436183025238915,-0.46343305223783204,-0.37176879674184304,0.6384396293884909,0.1589609198572955,-0.3496478655603235,0.5591829853729288,-0.20576811606459103,-0.3713303472388958
Salami sandwich,0.11655089987244686,0.19034876395423034,1.1470320769834335,-0.037059735755008184,-0.5516255565100209,0.0027126718332381693,0.1038261587249637,0.20268912935099523,-0.017730700816235373,-0.5196629809483706,-0.5439824692944373,0.19034876395423034,1.1470320769834335,-0.03705973575500817,-0.22993494659321545,-0.011132040605714436,-0.017670289016404578
Vegetable and mayonnaise sandwich,0.05612646964560668,0.28952620883701335,-0.08224468614702647,-0.0424407520740355,-0.5233363715222881,0.13988415618800853,-0.07908223913785503,0.2915507225007813,-0.14929989677425004,-0.06788458820507826,-0.4602542749042257,0.28952620883701335,-0.08224468614702647,-0.04244075207403556,-0.06544205997310991,-0.3410444707807676,0.02855932805521277
Egg and tomato sandwich (Ande aur tamatar ka sandwich),-0.06200249147747428,0.4508389203933471,0.8447985465683797,-0.28165138661988715,-0.5443511946560324,-0.06948284624821988,-0.03304224372517365,0.5315808689387677,0.10726003534387847,-0.49135412028720293,-0.47395525216807854,0.4508389203933471,0.8447985465683797,-0.2816513866198871,0.26689049997397996,-0.0017301178574596076,-0.2789674199011614
Sweet open sandwich,0.05607313828618321,1.2478432063790854,0.06887207906050066,-0.39709864582811,0.2752269075599982,0.14349393209208136,-0.15762340807485603,0.37536841887745775,0.008583138375367425,-0.5041512764764979,-0.5363708152589635,1.2478432063790854,0.06887207906050066,-0.39709864582810994,0.9436933453614854,-0.29640172521707175,-0.5517457737009329
Mushroom and cheese sandwich (toasted),-0.03368353962358907,0.1586836761302094,0.8825777378702614,-0.15935556118744768,-0.5427346697995906,0.1146157248594981,-0.01400559716116649,1.668534541559737,-0.19534911535955518,-0.5681370574229728,-0.5430310125400031,0.1586836761302094,0.8825777378702614,-0.15935556118744765,-0.10534113770587114,-0.006627066997052588,-0.08563678883554815
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),-0.0488296456998666,0.18317931010728233,0.6006868489254515,-0.16229066099782624,-0.4974719738192181,-0.06587307034414697,-0.013222642919416567,1.6221010212661093,-0.20850603495535666,-0.32305212676738415,-0.5091591520821448,0.18317931010728233,0.6006868489254515,-0.1622906609978262,-0.05933754012292936,-0.08808488345293199,-0.07671593234051823
